SchoolName,District,CountyName,Rate_LI,Rate_Sped,chronicabsenteeismrate,predicted,residual,residual_z
Mountain Empire High,Mountain Empire Unified,San Diego,45.87378640776699,19.66019417475728,43.9,23.19254038443971,20.70745961556029,2.5390362294787776
Blanche Charles Elementary,Calexico Unified,Imperial,92.12410501193318,18.61575178997613,47.4,26.88579377157033,20.514206228429668,2.5153405487673965
Mojave Elementary,Mojave Unified,Kern,92.61904761904762,14.761904761904765,55.7,25.491806182594118,30.208193817405885,3.7039646558999246
Coyote Hills Elementary,Newark Unified,Alameda,52.27272727272727,16.363636363636363,40.1,17.758807706523257,22.341192293476745,2.7393556571403064
O'Connell (John) High,San Francisco Unified,San Francisco,74.56521739130434,25.217391304347824,58.0,31.291902098377747,26.708097901622253,3.27480190480382
Marshall (Thurgood) High,San Francisco Unified,San Francisco,80.63157894736842,12.842105263157894,57.8,27.623979350590396,30.1760206494096,3.70001975678259
Kennedy Gardens Elementary,Calexico Unified,Imperial,93.80165289256198,11.570247933884298,48.4,24.378629054928087,24.02137094507191,2.9453700378319527
Yucca Elementary,Palmdale Elementary,Los Angeles,96.96969696969695,16.969696969696972,48.6,27.131322431624483,21.46867756837552,2.632372640444186
Hacienda Elementary,Mojave Unified,Kern,84.90945674044266,19.114688128772634,46.0,25.466791413631437,20.533208586368563,2.517670514690214
Robert P. Ulrich Elementary,Mojave Unified,Kern,83.1013916500994,13.518886679920476,53.5,22.91947883233935,30.58052116766065,3.7496174133638247
Green Tree East Elementary,Victor Elementary,San Bernardino,94.68503937007874,14.173228346456693,49.0,25.572320752879268,23.427679247120732,2.8725747863513655
