SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
6050488,Juniper,70110,Shasta,Redding Elementary,K-8,N,60,0,289.0,249.0,76.0,40.0,15.1,57,2,1,26.297577854671278,86.159169550173
0110510,Golden Hills Elementary,61523,Butte,Palermo Union Elementary,4-5,N,60,0,289.0,243.0,49.0,27.0,9.3,56,2,1,16.955017301038062,84.08304498269896
6009732,Maple Elementary,63610,Kern,Maple Elementary,K-8,N,61,0,289.0,178.0,27.0,20.0,7.0,250,2,1,9.342560553633218,61.5916955017301
6028278,C. C. Violette Elementary,66522,Orange,Garden Grove Unified,K-6,N,60,0,289.0,265.0,51.0,35.0,12.4,547,2,1,17.647058823529413,91.6955017301038
6106827,Friendly Hills Elementary,67777,San Bernardino,Morongo Unified,K-6,N,60,0,289.0,192.0,35.0,50.0,17.5,498,2,1,12.110726643598616,66.43598615916954
6037600,Crest Elementary,67991,San Diego,Cajon Valley Union,K-8,N,60,0,289.0,183.0,99.0,43.0,15.0,569,2,1,34.2560553633218,63.32179930795848
0111864,Normal Heights Elementary,68338,San Diego,San Diego Unified,K-5,N,60,0,289.0,252.0,84.0,81.0,28.5,569,2,1,29.06574394463668,87.19723183391004
6055693,Garden Grove Elementary,72603,Ventura,Simi Valley Unified,K-5,N,60,0,289.0,177.0,80.0,53.0,18.4,178,2,1,27.68166089965398,61.245674740484425
6052922,Grayson Elementary,71217,Stanislaus,Patterson Joint Unified,K-6,N,60,0,289.0,269.0,24.0,47.0,16.8,151,2,1,8.304498269896193,93.07958477508652
6019434,Tarzana Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,289.0,286.0,59.0,81.0,29.1,1598,2,1,20.415224913494807,98.96193771626297
6067136,Evergreen Elementary,70508,Siskiyou,Yreka Union Elementary,1-3,N,60,0,290.0,220.0,49.0,57.0,20.3,34,2,1,16.896551724137932,75.86206896551724
6035984,Joshua Tree Elementary,67777,San Bernardino,Morongo Unified,K-6,N,60,0,290.0,258.0,49.0,107.0,38.9,498,2,1,16.896551724137932,88.96551724137932
6040091,Rolando Park Elementary,68338,San Diego,San Diego Unified,K-5,N,60,0,290.0,196.0,79.0,63.0,22.5,569,2,1,27.241379310344826,67.58620689655173
6068282,Junipero Serra Elementary,69070,San Mateo,South San Francisco Unified,K-5,N,60,0,291.0,126.0,84.0,33.0,11.4,143,2,1,28.865979381443296,43.29896907216495
6031314,Tahoe Lake Elementary,66944,Placer,Tahoe-Truckee Unified,K-5,N,60,0,291.0,94.0,69.0,49.0,16.8,103,2,1,23.711340206185564,32.302405498281786
6010128,Jefferson Elementary,63800,Kern,Taft City,K-3,N,60,0,291.0,287.0,20.0,17.0,6.0,250,2,1,6.872852233676976,98.62542955326461
6048714,Terrell Elementary,69666,Santa Clara,San Jose Unified,K-5,C,60,0,291.0,168.0,72.0,67.0,24.6,319,2,1,24.742268041237114,57.73195876288659
6019756,Victoria Avenue Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,291.0,282.0,71.0,72.0,25.2,1598,2,1,24.398625429553263,96.90721649484536
